TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
FR140    	   25/140      Universität Freiburg, Institut für Med. Biometrie u. Med. Informatik                                 aktiv          4
FR141    	   Frei 141    Badisches Landesmuseum Karlsruhe / Außenstelle Südbaden / Bibliothek                                 aktiv          4
FR142    	   Frei 142    Bundesarchiv-Militärarchiv Freiburg                                                                  zdb            4
FR144    	   Frei 144    Rumänisches Institut - Rumänische Bibliothek e. V. Freiburg                                          zdb            4
FR146    	   Frei 146    Fraunhofer-Institut für Werkstoffmechanik Freiburg                                                   zdb            4
FR147    	   Frei 147    Centre Culturel Français Freiburg                                                                    zdb            4
FR150    	   Frei 150    Intermetall, Halbleiterwerk der Deutschen ITT                                                        zdb            4
FR154    	   25/154      Universität Freiburg, Bibliothek der Psychiatrischen Uni-Klinik / Abt. Psychosom. u. Psychotherap.   aktiv          4
         	               Medizin
FR156    	   25/156      Universität Freiburg, Fakultätsbibliothek Theologie                                                  aktiv          4
FR158    	   Frei 158    Fraunhofer-Institut für Physikalische Messtechnik                                                    zdb            4
FR161    	   Frei 161    Informationszentrum Dritte Welt Freiburg                                                             zdb            4
FR162    	   25/162      Universität Freiburg, Radiologisches Zentrum, Radiologische Klinik                                   aktiv          4
FR163    	   25/163      Universität Freiburg, Rechenzentrum                                                                  aktiv          4
FR165    	   25/165      Universität Freiburg, Institut für Landespflege                                                      aktiv          4

FR166    	   Frei 166   Museum für Ur- und Frühgeschichte Freiburg                                                 aktiv          4
FR168    	   25/168     Universität Freiburg, Patientenbibliothek der Universitätsklinik                           aktiv          4
FR169    	   25/169     Universität Freiburg, Zentrum für Anthropologie und Gender Studien                         aktiv          4
FR170    	   25/170     Universität Freiburg, Freiburger Institut für Paläowissenschaftliche Studien F.I.P.S.      aktiv          4
FR171    	   25/171     Universität Freiburg, Universitätsklinik f. Psychiatrie u. Psychosomatik                   aktiv          4
FR172    	   25/172     Universität Freiburg, Ethik-Kommission                                                     aktiv          4
FR173    	   25/173     Universität Freiburg, Abteilung für Medizinische Psychologie                               aktiv          4
FR174    	   25/174     Universität Freiburg, Universitätsklinikum, Akademie für medizinische Berufe               aktiv          4
FR175    	   25/175     Universität Freiburg, Sprachlehrinstitut                                                   aktiv          4
FR176    	   25/176     Universität Freiburg, Europazentrum der Universität Nagoya                                 aktiv          4
FR177    	   25/177     Universität Freiburg, Service Center Studium - Career Services, Mediathek                  aktiv          4
FR178    	   25/178     Universität Freiburg, Institut für Medienkulturwissenschaft, Bibliothek                    aktiv          4
FR200    	   Frei 200   Fraunhofer-Institut für Solare Energiesysteme Freiburg                                     zdb            4
FR201    	   Frei 201   Staatliche Fachstelle für das öffentliche Bibliothekswesen Freiburg                        zdb            4
FR202    	   Frei 202   Archiv für soziale Bewegungen in Baden                                                     zdb            4
FR204    	   Frei 204   Deutsche Akademie für Ernährungsmedizin e.V. Freiburg                                      zdb            4
FR205    	   Frei 205   Walter-Vetter-Archiv Freiburg                                                              aktiv          4
SBAL     	   Sa 23      Landtag des Saarlandes, Landtag des Saarlandes - Archiv                                    zdb            5
SBFH     	   Sa 16      Hochschule für Technik und Wirtschaft des Saarlandes                                       aktiv          5
SBFHBW   	   Sa 16/1    Hochschule für Technik und Wirtschaft des Saarlandes - Waldhausweg                         aktiv          5
SBKH     	   Sa 19      Hochschule für Technik und Wirtschaft des Saarlandes, Rastpfuhl                            aktiv          5
SBLA     	   479        Landesarchiv Saarbrücken                                                                   aktiv          5
SBLT     	   Sa 20      Landtag des Saarlandes                                                                     aktiv          5
SBU102   	   291/102    Universität des Saarlandes, Juristische Seminarbibliothek                                  aktiv          5
SBU109   	   291/109    Universität des Saarlandes, Wirtschaftswiss. Seminarbibliothek/Abt. VWL                    aktiv          5
SBU114   	   291/114    Universität des Saarlandes, Wirtschaftswiss. Seminarbibliothek/Abt. BWL                    aktiv          5
SBU187   	   291/187    Universität des Saarlandes, Testothek der Fachrichtung Psychologie                         aktiv          5
SBU301   	   291/301    Universität des Saarlandes, Fachrichtung Philosophie                                       aktiv          5
SBU304   	   291/304    Universität des Saarlandes, Fachrichtung Vergl. Indogerman. Sprachwiss. u. Indoiranistik   aktiv          5
SBU305   	   291/305    Universität des Saarlandes, Fachrichtung Klassische Philologie                             aktiv          5
SBU306   	   291/306    Universität des Saarlandes, Fachrichtung Germanistik                                       aktiv          5
SBU307   	   291/307    Universität des Saarlandes, Fachrichtung Romanistik                                        aktiv          5
SBU308   	   291/308    Universität des Saarlandes, Fachrichtung Allgemeine Linguistik/Computerlinguistik          aktiv          5
SBU309   	   291/309   Universität des Saarlandes, Fachrichtung Anglistik                                              aktiv          5
SBU310   	   291/310   Universität des Saarlandes, Fachrichtung Vergleichende Literaturwissenschaft                    aktiv          5
SBU311   	   291/311   Universität des Saarlandes, Institut für Alte Geschichte                                        aktiv          5
SBU313   	   291/313   Universität des Saarlandes, Historisches Institut                                               aktiv          5
SBU314   	   291/314   Universität des Saarlandes, Fachbereichsbibliothek Empirische Humanwissenschaften               aktiv          5
SBU315   	   291/315   Universität des Saarlandes, Fachrichtung Klassische Archäologie                                 aktiv          5
SBU316   	   291/316   Universität des Saarlandes, Fachrichtung Vor- und Frühgeschichte                                aktiv          5
SBU317   	   291/317   Universität des Saarlandes, Fachrichtung Kunstgeschichte                                        aktiv          5
SBU318   	   291/318   Universität des Saarlandes, Fachrichtung Musikwissenschaft                                      aktiv          5
SBU320   	   291/320   Universität des Saarlandes, Fachrichtung Soziologie                                             aktiv          5
SBU321   	   291/321   Universität des Saarlandes, Fachrichtung Slavistik                                              aktiv          5
SBU336   	   291/336   Universität des Saarlandes, Fachrichtung Orientalistik                                          zdb            5
SBU348   	   291/348   Universität des Saarlandes, Fachrichtung Katholische Theologie                                  aktiv          5
SBU349   	   291/349   Universität des Saarlandes, Fachrichtung Evangelische Theologie                                 aktiv          5
SBU350   	   291/350   Universität des Saarlandes, Institut für Landeskunde                                            aktiv          5
SBU355   	   291/355   Universität des Saarlandes, Bibliothek für Österreichische Literatur u. Kultur                  aktiv          5
SBU403   	   291/403   Universität des Saarlandes, Fachrichtung Geologie                                               zdb            5
SBU406   	   291/406   Universität des Saarlandes, FR 6.1 Mathematik, Campusbibliothek für Informatik und Mathematik   aktiv          5
SBU407   	   291/407   Universität des Saarlandes, FR 6.2 Informatik, Campusbibliothek für Informatik und Mathematik   aktiv          5
SBU412   	   291/412   Universität des Saarlandes, Fachrichtung Werkstoffwissenschaften                                zdb            5
SBU415   	   291/415   Leibniz Institut für Neue Materialien gGmbH an der Universität des Saarlandes                   aktiv          5
SBU417   	   291/417   Universität des Saarlandes, Physik und Elektrotechnik                                           aktiv          5
SBU418   	   291/418   Universität des Saarlandes, FR 6.1 Angewandte Mathematik, Campusbibliothek für Informatik und   aktiv          5
         	             Mathematik
SBU424   	   291/424   Universität des Saarlandes, Fachrichtung Pharmazeutische Chemie                                 aktiv          5
SBU425   	   291/425   Universität des Saarlandes, Fachrichtung Genetik                                                zdb            5
SBU439   	   291/439   Universität des Saarlandes, Fachrichtung Pharmazeutische Technologie                            zdb            5
SBU441   	   291/441   Universität des Saarlandes, Fachrichtung Experimentalphysik u. Didaktik d. Physik               zdb            5
SBU501   	   291/501   Universität des Saarlandes, Fachrichtung Angew. Sprachwiss. sowie Übersetzen u. Dolmetschen     aktiv          5
SBU502   	   291/502   Universität des Saarlandes, Fachgebiet Sprechwissenschaft und Sprecherziehung                   aktiv          5
SBU503   	   291/503   Universität des Saarlandes, Europa-Institut                                                     aktiv          5
SBU504   	   291/504   Sportwissenschaftliches Institut Saarbrücken                                                    aktiv          5
SBU819   	   291/819   Frankreichzentrum Saarbrücken                                                                   aktiv          5



SBU820   	   291/820   Kontaktstelle für Wissens- und Technologietransfer (KTW) der Universität des Saarlandes;       aktiv          5
         	             Bibliothek Existenzgründer
SBUB     	   291       Saarländische Universitäts- und Landesbibliothek                                               aktiv           5
SBUBME   	   291 M     Saarländische Universitäts- und Landesbibliothek, Medizin. Abteilung, Homburg                  aktiv           5
SBUBSA   	   291X      Saarländ. Universitäts- u. Landesbibliothek - Saarländische Bibliographie                      aktiv           5
DDSU     	   14        Sächsische Landesbibliothek - Staats- und Universitätsbibliothek (SLUB)                        aktiv           6
KNUB     	   352       Universitätsbibliothek Konstanz                                                                aktiv           7
KNUBEB   	   352E      Universität Konstanz, elektronische Bestände                                                   aktiv           7
S1LB     	   24        Württembergische Landesbibliothek                                                              aktiv           8
MAUB     	   180       Universität Mannheim, Universitätsbibliothek                                                   aktiv           9
L1UB     	   15        Universitätsbibliothek Leipzig                                                                 aktiv          10
L1UBME   	   15/292    Universität Leipzig, Zentralbibliothek Medizin                                                 aktiv          10
HDUB     	   16        Universitätsbibliothek Heidelberg                                                              aktiv          11
HDBSAC   	   16/31     Universität Heidelberg, Archäologisches Institut                                               aktiv          12
HDBSAG   	   16/53     Universität Heidelberg, Seminar für Alte Geschichte und Epigraphik                             aktiv          12
HDBSAH   	   16/83     Universität Heidelberg, Institut für Humangenetik                                              aktiv          12
HDBSAR   	   16/155    Astronomisches Rechen-Institut, Heidelberg                                                     aktiv          12
HDBSAV   	   16/142    Universitätsarchiv Heidelberg                                                                  aktiv          12
HDBSAY   	   16/37     Universität Heidelberg, Ägyptologisches Institut                                               aktiv          12
HDBSBI   	   16/84     Universität Heidelberg, Biochemie-Zentrum der Universität                                      aktiv          12
HDBSBO   	   16/42     Universität Heidelberg, Institut für Pflanzenwissenschaften                                    aktiv          12
HDBSCH   	   16/2      Universität Heidelberg, Bibliothek der Chemischen Institute                                    aktiv          12
HDBSDE   	   16/29     Universität Heidelberg, Germanistisches Seminar                                                aktiv          12
HDBSDI   	   16/46     Universität Heidelberg, Seminar für Übersetzen und Dolmetschen und Seminar für Deutsch als     aktiv          12
         	             Fremdsprachenphilologie
HDBSDS   	   16/85     Universität Heidelberg, Institut für Medizinische Biometrie und Informatik der Universität     aktiv          12
HDBSEN   	   16/24     Universität Heidelberg, Anglistisches Seminar                                                  aktiv          12
HDBSEP   	   16/121    Universität Heidelberg, Physikalisches Institut                                                aktiv          12
