TUUB 	21 	Universitätsbibliothek Tübingen 	aktiv 	1
G101     	   M 504B     Goehte-Institut Zentrale München, Bibliothek                                                    aktiv          42
G103     	   M 504103   Goethe-Institut Sydney                                                                          aktiv          42
G105     	   M 504105   Goethe-Institut Amsterdam                                                                       aktiv          42
G108     	   M 504108   Goethe-Institut Rotterdam                                                                       aktiv          42
G110     	   M 504110   Goethe-Institut Curitiba                                                                        aktiv          42
G111     	   M 504111   Goethe-Institut Porto Alegre                                                                    aktiv          42
G112     	   M 504112   Goethe-Institut Rio de Janeiro                                                                  aktiv          42


G113     	   M 504113   Goethe-Institut Salvador-Bahia                                         aktiv          42
G114     	   M 504114   Goethe-Institut São Paulo                                              aktiv          42
G117     	   M 504117   Goethe-Institut Lyon                                                   aktiv          42
G119     	   M 504119   Goethe-Institut Nancy                                                  aktiv          42
G120     	   M 504120   Goethe-Institut Paris                                                  aktiv          42
G122     	   M 504122   Goethe-Institut Dublin                                                 aktiv          42
G123     	   M 504123   Goethe-Institut Glasgow                                                aktiv          42
G124     	   M 504124   Goethe-Institut London                                                 aktiv          42
G128     	   M 504128   Goethe-Institut Caracas                                                aktiv          42
G131     	   M 504131   Goethe-Institut La Paz                                                 aktiv          42
G132     	   M 504132   Goethe-Institut Lima                                                   aktiv          42
G133     	   M 504133   Goethe-Institut Mexiko                                                 aktiv          42
G135     	   M 504135   Goethe-Institut Buenos Aires                                           aktiv          42
G136     	   M 504136   Goethe-Institut Córdoba                                                aktiv          42
G138     	   M 504138   Goethe-Institut Montevideo                                             aktiv          42
G139     	   M 504139   Goethe-Institut Santiago de Chile                                      aktiv          42
G141     	   M 504141   Goethe-Institut Mailand                                                aktiv          42
G146     	   M 504146   Goethe-Institut Turin                                                  aktiv          42
G147     	   M 504147   Goethe-Institut Belgrad                                                aktiv          42
G148     	   M 504148   Goethe-Institut Bratislava                                             aktiv          42
G149     	   M 504149   Goethe-Institut Budapest                                               aktiv          42
G150     	   M 504150   Goethe-Institut Bukarest                                               aktiv          42
G151     	   M 504151   Goethe-Institut Krakau                                                 aktiv          42
G152     	   M 504152   Goethe-Institut Prag                                                   aktiv          42
G153     	   M 504153   Goethe-Institut Sofia                                                  aktiv          42
G154     	   M 504154   Goethe-Institut Warschau                                               aktiv          42
G155     	   M 504155   Goethe-Institut Zagreb                                                 aktiv          42
G156     	   M 504156   Goethe-Institut Alexandria                                             aktiv          42
G157     	   M 504157   Goethe-Institut Amman                                                  aktiv          42
G158     	   M 504158   Goethe-Institut Beirut                                                 aktiv          42
G159     	   M 504159   Goethe-Institut Damaskus                                               aktiv          42
G160     	   M 504160   Goethe-Institut Kairo                                                  aktiv          42
G165     	   M 504165   Goethe-Institut Helsinki                                               aktiv          42


G166     	   M 504166   Goethe-Institut Kopenhagen                                            aktiv          42
G167     	   M 504167   Goethe-Institut Oslo                                                  aktiv          42
G169     	   M 504169   Goethe-Institut Riga                                                  aktiv          42
G170     	   M 504170   Goethe-Institut Stockholm                                             aktiv          42
G174     	   M 504174   Goethe-Institut Johannesburg                                          aktiv          42
G175     	   M 504175   Goethe-Institut Nairobi                                               aktiv          42
G176     	   M 504176   Goethe-Institut Almaty                                                aktiv          42
G177     	   M 504177   Goethe-Instiut Kiew                                                   aktiv          42
G178     	   M 504178   Goethe-Institut Minsk                                                 aktiv          42
G179     	   M 504179   Goethe-Institut Moskau                                                aktiv          42
G180     	   M 504180   Goethe-Institut St. Petersburg                                        aktiv          42
G181     	   M 504181   Goethe-Institut Tbilissi                                              aktiv          42
G182     	   M 504182   Goethe-Institut Ankara                                                aktiv          42
G183     	   M 504183   Goethe-Institut Athen                                                 aktiv          42
G184     	   M 504184   Goethe-Institut Taschkent                                             aktiv          42
G185     	   M 504185   Goethe-Institut Istanbul                                              aktiv          42
G186     	   M 504186   Goethe-Institut Izmir                                                 aktiv          42
G189     	   M 504189   Goethe-Institut Ramallah                                              aktiv          42
G190     	   M 504190   Goethe-Institut Tel Aviv                                              aktiv          42
G191     	   M 504191   Goethe-Institut Thessaloniki                                          aktiv          42
G192     	   M 504192   Goethe-Institut Hongkong                                              aktiv          42
G193     	   M 504193   Goethe-Institut Kyoto                                                 aktiv          42
G194     	   M 504194   Goethe-Institut Peking                                                aktiv          42
G195     	   M 504195   Goethe-Institut Seoul                                                 aktiv          42
G196     	   M 504196   Goethe-Institut Taipei                                                aktiv          42
G197     	   M 504197   Goethe-Institut Tokyo                                                 aktiv          42
G198     	   M 504198   Goethe-Institut Bandung                                               aktiv          42
G199     	   M 504199   Goethe-Institut Bangkok                                               aktiv          42
G200     	   M 504200   Goethe-Institut Jakarta                                               aktiv          42
G201     	   M 504201   Goethe-Institut Hanoi                                                 aktiv          42
G203     	   M 504203   Goethe-Institut Manila                                                aktiv          42
G204     	   M 504204   Goethe-Institut Singapur                                              aktiv          42
G205     	   M 504205   Goethe-Institut Max Müller Bhavan Bangalore                           aktiv          42



G206     	   M 504206   Goethe-Institut Max Müller Bhavan Mumbai                              aktiv          42
G207     	   M 504207   Goethe-Institut Colombo                                               aktiv          42
G208     	   M 504208   Goethe-Institut Dhaka                                                 aktiv          42
G210     	   M 504210   Goethe-Institut Max Müller Bhavan Kolkata                             aktiv          42
G211     	   M 504211   Goethe-Institut Karachi                                               aktiv          42
G214     	   M 504214   Goethe-Institut Max Müller Bhavan Chennai                             aktiv          42
G215     	   M 504215   Goethe-Institut New Delhi                                             aktiv          42
G216     	   M 540216   Goethe-Institut Max Müller Bhavan Pune                                aktiv          42
G224     	   M 504224   Goethe-Institut Montréal                                              aktiv          42
G225     	   M 504225   Goethe-Institut New York                                              aktiv          42
G229     	   M 504229   Goethe-Institut Toronto                                               aktiv          42
G230     	   M 504230   Goethe-Institut Toronto, Fortbilder Kanada                            aktiv          42
G232     	   M 504232   Goethe-Institut Abidjan                                               aktiv          42
G233     	   M 504233   Goethe-Institut Accra                                                 aktiv          42
G235     	   M 504235   Goethe-Institut Lagos                                                 aktiv          42
G236     	   M 504236   Goethe-Institut Lomé                                                  aktiv          42
G237     	   M 504237   Goethe-Institut Yaoundé                                               aktiv          42
G238     	   M 504238   Goethe-Institut Barcelona                                             aktiv          42
G240     	   M 504240   Goethe-Institut Lissabon                                              aktiv          42
G241     	   M 504241   Goethe-Institut Madrid                                                aktiv          42
G243     	   M 504243   Goethe-Institut Rabat/Casablanca                                      aktiv          42
G245     	   M 504245   Goethe-Institut Kabul                                                 aktiv          42
G246     	   M 504246   Goethe-Institut Algier                                                aktiv          42
G247     	   M 504247   Goethe-Institut Sarajevo                                              aktiv          42
G248     	   M 504248   Goethe-Institut Minsk: Bücherbus                                      aktiv          42
G249     	   M 504249   Goethe-Institut Dakar                                                 aktiv          42
G250     	   M 504250   Goethe-Institut Moskau / Bibliothek für Deutschlehrer                 aktiv          42
G251     	   M 504251   Goethe-Institut Bogotá                                                aktiv          42
G373     	   M 504373   Goethe-Institut Addis Abeba                                           aktiv          42
GAAG     	   M 504AAG   Goethe-Institute: Deutschland auf dem angloamerikanischen Buchmarkt   aktiv          42
S2MADL   	   Mar 1      Deutsches Literaturarchiv Marbach                                     aktiv          43
KAPH     	   751        Hochschulbibliothek Karlsruhe                                         aktiv          44
C1MIFH   	   Mit 1      Hochschule Mittweida                                                  aktiv          45



N1GN     	   N1          Bibliothek des Germanischen Nationalmuseums Nürnberg (Testbetrieb)        aktiv          46
FRLORE   	   924         Wissenschaftliche Regionalbibliothek Lörrach                              aktiv          47
C1ZWFH   	   Zwi 2       Westsächsische Hochschule Zwickau (FH)                                    aktiv          48
FR026    	   Frei 26     Bibliothek des Deutschen Caritasverbandes                                 aktiv          49
DDZIFH   	   Zi 4        Hochschule Zittau/Görlitz (FH)                                            aktiv          50
L1BV     	   B 791       Bundesverwaltungsgericht                                                  aktiv          51
HDBSFC   	   840/3       Hochschule Heilbronn, Campus am Europaplatz                               aktiv          55
HDBSFH   	   840         Hochschulbibliothek Heilbronn                                             aktiv          55
HDBSFK   	   840/1       Hochschulbibliothek Heilbronn, Standort Künzelsau                         aktiv          55
HDBSFS   	   840/2       Hochschulbibliothek Heilbronn, Campus Schwäbisch Hall                     aktiv          55
L1FH     	   L 189       Hochschule für Technik, Wirtschaft und Kultur Leipzig                     aktiv          57
S1EOSB   	   Stg 117/1   Evangelischer Oberkirchenrat, sonstige Bibliotheken                       aktiv          58
KNFH     	   Kon 4       Fachhochschule Konstanz                                                   aktiv          59
S2LBDF   	   Lg 3        Deutsch-Französisches Institut Ludwigsburg                                aktiv          60
DDFHTW   	   520         Hochschule für Technik und Wirtschaft                                     aktiv          61
HHMPPR   	   B 212       MPI für Ausländisches und Internationales Privatrecht, Hamburg            aktiv          62
KAPFFW   	   951         Hochschulbibliothek Pforzheim - Bereichsbibliothek Wirtschaft + Technik   aktiv          63
MAFHTE   	   953         Hochschule Mannheim, Hochschulbibiliothek                                 aktiv          64
S1FHBW   	   900         Stuttgart, Hochschule der Medien - Bibliothek Standort Wolframstraße      aktiv          65
S1FHDR   	   958         Stuttgart, Hochschule der Medien - Bibliothek Standort Nobelstraße        aktiv          65
MALMTA   	   Mh 34       Technoseum - Landesmuseum für Technik und Arbeit                          aktiv          66
TUAUES   	   Tü 69       Evangelisches Stift Tübingen                                              aktiv          67
FRFTFH   	   Fn 1        Hochschule Furtwangen, Hochschule für Technik und Wirtschaft              aktiv          68
FRFTTU   	   Fn 1/TUT    Hochschule Furtwangen, Campus Tuttlingen, Bibliothek                      aktiv          68
FRFTVS   	   Fn 1/VS     Hochschule Furtwangen, Campus Schwenningen, Bibliothek                    aktiv          68
S1EOHB   	   Stg 257     Evangelischer Oberkirchenrat, Haus Birkach                                aktiv          69
S1TRMH   	   Trs 1       Staatliche Hochschule für Musik Trossingen                                aktiv          70
L1SB     	   197         Stadtbibliothek Leipzig                                                   aktiv          72
C1SB     	   59          Stadtbibliothek Chemnitz                                                  aktiv          73
KALK     	   Ka 13       Landeskirchliche Bibliothek Karlsruhe                                     aktiv          81
DDSK     	   D 13        Staatliche Kunstsammlungen Dresden                                        aktiv          82
TURODB   	   Rot 2       Diözesanbibliothek der Diözese Rottenburg-Stuttgart                       aktiv          83
KAKU     	   Ka 23       Staatliche Kunsthalle Karlsruhe                                           aktiv          84


MA0402   	   180/4,2     Universität Mannheim, Mannheimer Zentrum für Europäische Sozialforschung          aktiv           85
MAHMHM   	   Mh 31       Staatliche Hochschule für Musik und Darstellende Kunst Mannheim                   aktiv           86
KNUELS   	   159         Leopold-Sophien-Bibliothek Überlingen                                             aktiv           87
FR003C   	   Frei 3c     Universität Freiburg, Mathematisches Forschungsinstitut Oberwolfach               aktiv           88
DDHB     	   540         Hochschule für Bildende Künste                                                    aktiv           89
KNUBBD   	   352X        Universitätsbibliothek Konstanz, Euregio-Bodensee-Datenbank                       aktiv           91
DDMV     	   D 40        Staatliche Ethnograph. Sammlungen Sachsen, Museum für Völkerkunde Dresden         aktiv           92
L1MV     	   L 228       Staatliche Ethnograph. Sammlungen Sachsen, Museum für Völkerkunde zu Leipzig      aktiv           92
MAIS     	   Mh 39       Mannheim, Institut für Deutsche Sprache (IDS)                                     aktiv           93
L1BC     	   L 326       Bach-Archiv Leipzig                                                               aktiv           94
S1A113   	   Stg 113     Max-Planck-Institute Stuttgart / Bibliothek                                       aktiv           95
KSDA     	   Ks 17       Kassel, documenta Archiv für die Kunst des 20. und 21. Jahrhunderts, Bibliothek   aktiv           96
L1GB     	   L 242       Hochschule für Grafik und Buchkunst, Leipzig                                      aktiv           97
FR050    	   Frei 50     Hochschule für Musik Freiburg                                                     aktiv           98
FR0501   	   Frei 50/1   Institut für Neue Musik Freiburg                                                  aktiv           98
FRKEFH   	   Kh 1        Hochschule für öffentliche Verwaltung Kehl                                        aktiv           99
KNWB     	   146         Wessenberg-Bibliothek                                                             aktiv          100
DDST     	   D 271       Sächsisches Staatsarchiv, Hauptstaatsarchiv Dresden                               aktiv          101
C1SI     	   Ch 103      Sächsisches Industriemuseum Chemnitz, Bibliothek                                  aktiv          102
S1GW     	   Stg 280     Stuttgart, Akademie für gesprochenes Wort                                         aktiv          103
S2HLSO   	   Heu 1       Schriftgut-Archiv-Ostwürttemberg                                                  aktiv          104
KNVSFH   	   1019        Hochschule für Polizei Villingen-Schwenningen                                     aktiv          105
S1BA     	   Stg 259     Duale Hochschule Baden-Württemberg Stuttgart                                      aktiv          106
FR160    	   Frei 160    Ev. Hochschule Freiburg, Hochschule für Soziale Arbeit, Diak. u. Religionspäd.    aktiv          107
TUALFA   	   991a        Hochschule Albstadt-Sigmaringen, Bibliothek Albstadt                              aktiv          108
TUSIFA   	   991         Hochschule Albstadt-Sigmaringen, Bibliothek Sigmaringen                           aktiv          108
KAKM     	   Ka 88       Zentrum für Kunst- und Medientechnologie, Karlsruhe                               aktiv          109
DDKF     	   D 120       Helmholtz-Zentrum Dresden-Rossendorf e. V.                                        aktiv          110
S2AAFH   	   944         Hochschule Aalen                                                                  aktiv          111
S1FHTE   	   1033        Hochschule für Technik Stuttgart                                                  aktiv          112
S2ESGP   	   972         Hochschule Esslingen, Standort Göppingen                                          aktiv          113
S2ESSF   	   753         Hochschule Esslingen, Hochschulbibliothek                                         aktiv          113
KNBSSU   	   Kon 5       Heinrich-Suso-Gymnasium                                                           aktiv          115


ULBIFH   	   949        Fachhochschule Biberach                                                          aktiv          116
S1SG     	   Stg 120    Stuttgart, Staatsgalerie                                                         aktiv          117
MABEAK   	   Mh 35      Duale Hochschule Baden-Württemberg Mannheim                                      aktiv          118
ULFH     	   943        Fachhochschule Ulm                                                               aktiv          119
MAZISG   	   Mh 32      Zentralinstitut für Seelische Gesundheit, Mannheim                               aktiv          120
HDBSES   	   He 79      Universität Heidelberg, Forschungsstätte der Evangelischen Studiengemeinschaft   aktiv          121
KNVSBA   	   Vil 2      Duale Hochschule Baden-Württemberg Villingen-Schwenningen                        aktiv          122
HDBSJD   	   He 116     Hochschule für Jüdische Studien                                                  aktiv          123
S1HG     	   Stg 269    Haus der Geschichte Baden-Württemberg                                            aktiv          124
S1MH     	   Stg 111    Hochschule für Musik und darstellende Kunst Stuttgart                            aktiv          125
HDBSTR   	   Gun 1      Siebenbürgische Bibl. / Archiv Landeskundl. Dokumentationszentrum                aktiv          126
FR164    	   Frei 164   Erzbischöfliches Ordinariat Freiburg                                             aktiv          127
FROGFG   	   988        Hochschule Offenburg, Campus Gengenbach                                          aktiv          129
FROGFH   	   Ofb 1      Hochschule Offenburg, Campus Offenburg                                           aktiv          129
KARALW   	   Ras 1      Historische Bibliothek des Ludwig-Wilhelm-Gymnasiums Rastatt                     aktiv          130
DDBA     	   D 161      Berufsakademie Sachsen, Staatliche Studienakademie Dresden                       aktiv          131
L1BA     	   L 229      Berufsakademie Sachsen, Staatliche Studienakademie Leipzig                       aktiv          132
DDBRBA   	   Brt 1      Berufsakademie Sachsen, Staatliche Studienakademie Breitenbrunn                  aktiv          133
DDGLBA   	   Gla 1      Berufsakademie Sachsen, Staatliche Studienakademie Glauchau                      aktiv          134
DDBZBA   	   Bn 3       Berufsakademie Sachsen, Staatliche Studienakademie Bautzen                       aktiv          135
DDRIBA   	   Rs 1       Berufsakademie Sachsen, Staatliche Studienakademie Riesa                         aktiv          136
DDSM     	   D 209a     Museen der Stadt Dresden, Bibliothek des Stadtmuseums                            aktiv          137
DDTS     	   D 209      Museen der Stadt Dresden, Bibliothek der Technischen Sammlungen                  aktiv          137
DDSG     	   D 174      Dresden, Institut für Sächsische Geschichte und Volkskunde                       aktiv          138
DDRBSP   	   549        Rothenburg (OL), Hochschule der Sächsischen Polizei                              aktiv          139
KNFNBB   	   Fh 1       Bodenseebibliothek Friedrichshafen                                               aktiv          140
HDBSUW   	   16/300     Medizinische Fakultät Mannheim der Universität Heidelberg                        aktiv          141
KABL     	   Ka 23a     Badisches Landesmuseum Karlsruhe                                                 aktiv          142
KNRVBA   	   Rav 1      Duale Hochschule Baden-Württemberg Ravensburg                                    aktiv          143
TUROFH   	   955        Fachhochschule für Forstwirtschaft Rottenburg                                    aktiv          144
KAHM     	   Ka 84      Staatliche Hochschule für Musik, Karlsruhe                                       aktiv          145
S1EK     	   Stg 262    Evangelische Kirchenmusik in Württemberg                                         aktiv          146
S2NUFG   	   1090       Fachhochschule Geislingen, Außenstelle von Nürtingen                             aktiv          147


S2NUFH   	   950        Fachhochschule Nürtingen                                             aktiv          148
FRLOBA   	   Lör 2      Duale Hochschule Baden-Württemberg Lörrach - Zentralbibliothek       aktiv          149
FRLOZG   	   Lör 2/1    Duale Hochschule Baden-Württemberg Lörrach, Zweigbibliothek          aktiv          149
FR119    	   Frei 119   Arnold-Bergstraesser-Institut für Kulturwiss. Forschung              aktiv          150
KAPFFH   	   981        Hochschulbibliothek Pforzheim - Bereichsbibliothek Gestaltung        aktiv          151
HDBSHN   	   941/1      Duale Hochschule Baden-Württemberg Mosbach, Campus Heilbronn         aktiv          152
HDBSMH   	   Meg 1      Duale Hochschule Baden-Württemberg Mosbach, Campus Bad Mergentheim   aktiv          152
HDBSMS   	   941        Duale Hochschule Baden-Württemberg Mosbach                           aktiv          152
ULHEBA   	   Hed 2      Duale Hochschule Baden-Württemberg Heidenheim                        aktiv          153
ULHEZB   	   Hed 2/2    Duale Hochschule Baden-Württemberg Heidenheim, Zweigbibliothek       aktiv          153
KNSA     	   Kon 2      Stadtarchiv Konstanz                                                 aktiv          154
S1HH     	   Stg 260    Haus der Heimat des Landes Baden-Württemberg                         aktiv          155
DDHA     	   D 264      Hannah-Arendt-Institut für Totalitarismusforschung                   aktiv          156
S1LBDP   	   24/1       Deutsche Pharmazeutische Zentralbibliothek                           aktiv          157
DDLA     	   D 115      Landesamt für Archäologie                                            aktiv          158
S2SGFH   	   984        Fachhochschule Schwäbisch Gmünd                                      aktiv          159
HDBSHK   	   He 129     Heidelberger Kunstverein e. V.                                       aktiv          160
DDMH     	   D 117      Dresden, Hochschule für Musik 'Carl Maria von Weber'                 aktiv          161
S1TH     	   Stg 267    Stiftung Bundespräsident-Theodor-Heuss-Haus                          aktiv          162
KABRMU   	   Bret 1     Bibliothek des Melanchthonhauses Bretten                             aktiv          163
TUAUDG   	   Tü 126     Institut für Donauschwäbische Geschichte u. Landeskunde Tübingen     aktiv          164
KNSIHB   	   296        Hegau-Bibliothek Singen                                              aktiv          165
S1AB     	   Stg 268    Staatliche Akademie der bildenden Künste, Stuttgart                  aktiv          166
KABK     	   Ka 89      Staatliche Akademie der Bildenden Künste, Karlsruhe                  aktiv          167
HDBSFE   	   He 205     Reichspräsident-Friedrich-Ebert-Gedenkstätte                         aktiv          168
FR207    	   Frei 207   Regierungspräsidium Freiburg, Referat 25 - Denkmalpflege             aktiv          169
S1A005   	   Stg 5      Linden-Museum Stuttgart                                              aktiv          170
S1MW     	   Stg 251    Ministerium für Wissenschaft, Forschung und Kunst Stuttgart (MWK)    aktiv          171
TURWAM   	   Rtw 1      Albertus-Magnus-Gymnasium Rottweil                                   aktiv          172
S1NM     	   Stg 265    Staatliches Museum für Naturkunde Stuttgart                          aktiv          173
MAZEWI   	   Mh 36      Zentrum für Europäische Wirtschaftsforschung GmbH, Bibliothek        aktiv          174
S1HA     	   Stg 90     Landesarchiv Baden-Württemberg, Hauptstaatsarchiv Stuttgart          aktiv          175
S1SHRB   	   357        Ratsbibliothek beim Stadtarchiv Schwäbisch Hall                      aktiv          176


KNAL     	   Kon 6       Archäologisches Landesmuseum Außenstelle Konstanz                                           aktiv          177
HDBSWA   	   Wh 1        Staatsarchiv Wertheim                                                                       aktiv          178
SBST     	   Sa 3        Statistisches Landesamt Saarland                                                            zdb            179
S1A191   	   Stg 191     Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO)                            aktiv          180
HDBSKF   	   He 78       Deutsches Krebsforschungszentrum                                                            aktiv          181
FRLOMB   	   Lör 3       Museum am Burghof, Lörrach                                                                  aktiv          182
KABA     	   Ka 90       Duale Hochschule Baden-Württemberg Karlsruhe                                                aktiv          183
S2ELPG   	   Ell 1       Peutinger-Gymnasium Ellwangen                                                               aktiv          184
DDMPCP   	   D 210       MPI für chemische Physik fester Stoffe                                                      aktiv          185
HDAW     	   He 211      Heidelberger Akademie der Wissenschaften                                                    aktiv          187
S2LGFH   	   1147        Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg                              aktiv          188
S1HM     	   Stg 255     Homöopathiearchiv Stuttgart                                                                 aktiv          189
SBMPIN   	   Sa 18       MPI für Informatik - Campusbibliothek für Informatik und Mathematik                         aktiv          190
SBMPSY   	   Sa 18a      Max Planck Institute for Software Systems, Campusbibliothek für Informatik und Mathematik   aktiv          190
KNWESS   	   747/2       Staatliches Seminar für Didaktik und Lehrerbildung Weingarten                               aktiv          191
DDMPPH   	   D 206       MPI für Physik komplexer Systeme                                                            aktiv          192
S1ESLD   	   Ess 5       Regierungspräsidium Stuttgart, Landesamt für Denkmalpflege                                  aktiv          193
HDBSAF   	   He 209      Netzwerk AlternsfoRschung (NAR)                                                             aktiv          194
S2LGST   	   Lg 2        Staatsarchiv Ludwigsburg                                                                    aktiv          195
S1MA     	   1344        Stuttgart, Merz Akademie                                                                    aktiv          197
KNRVBF   	   Rav 1/a     Duale Hochschule Baden-Württemberg Ravensburg, Campus Friedrichshafen                       aktiv          198
S1EOPD   	   Stg 117/2   Evangelisches Pastoralkolleg Bad Urach                                                      aktiv          199
TUBSHM   	   Schu 1      Mundartbibliothek, Zentrales württembergisches Mundartarchiv                                aktiv          200
S2ESSA   	   Ess 4       Stadtarchiv Esslingen                                                                       aktiv          201
KNCHEB   	   zzz9 CH2    Eisenbibliothek Schlatt (CH)                                                                aktiv          202
KNEB     	   Kon 7       Dr. Erich-Bloch- und Lebenheim-Bibliothek der Israelit. Kultusgemeinde Konstanz             aktiv          203
HDBSLI   	   He 201      Litauisches Kulturinstitut                                                                  aktiv          204
DDZICW   	   124         Christian-Weise-Bibliothek Zittau                                                           aktiv          205
KNFNZU   	   1141        Zeppelin Universität Friedrichshafen                                                        aktiv          206
KNBSPF   	   352/1       Paul-Feyerabend-Bibliothek Konstanz                                                         aktiv          207
KAPFSA   	   451         Stadtarchiv Pforzheim                                                                       aktiv          208
L1ABLM   	   Al 4        Lindenau-Museum Altenburg                                                                   aktiv          209
S2MBIS   	   Mau 2       Institut für Sportgeschichte Baden-Württemberg Maulbronn                                    aktiv          210


         	                                                                     
S1WA     	   Stg 256   Wirtschaftsarchiv Baden-Württemberg                                                          aktiv          211
FROGSB   	   749       Stadtbücherei Offenburg                                                                      aktiv          213
S1BOEA   	   Bol 1     Evangelische Akademie Bad Boll                                                               aktiv          214
HDBSKM   	   He 128    Kurpfälzisches Museum                                                                        aktiv          215
HDBSAJ   	   He 204    Zentralarchiv zur Erforschung der Geschichte der Juden in Deutschland                        aktiv          216
SBSB     	   178       Stadtbibliothek Saarbrücken                                                                  aktiv          217
FRSTGS   	   Stau 1    Goethe-Sammlung, Staufen                                                                     aktiv          218
HDBSMB   	   He 93     Europäisches Laboratorium für Molekulare Biologie                                            aktiv          219
HDBSSR   	   He 202    Dokumentations- und Kulturzentrum Deutscher Sinti und Roma                                   aktiv          220
HDBSXM   	   He 43     MPI für Medizinische Forschung, Heidelberg                                                   aktiv          221
S1WL     	   Stg 266   Württembergisches Landesmuseum                                                               aktiv          222
HDJF     	   He 210    Deutsches Institut für Jugendhilfe und Familenrecht e.V.                                     aktiv          223
HDBSDA   	   He 115    Universität Heidelberg, Deutsch-Amerikanisches Institut                                      aktiv          224
S1EM     	   Stg 264   Evangelische Medienzentrale Württemberg                                                      aktiv          225
S1DW     	   Stg 112   Diakonisches Werk der Evangelischen Kirche in Deutschland                                    aktiv          226
TUAUWS   	   Tü 59     Wilhelmsstift Tübingen                                                                       aktiv          227
HDBSSH   	   475       Stadtarchiv Heidelberg                                                                       aktiv          228
S1HOBA   	   Stg 258   Duale Hochschule Baden-Württemberg Stuttgart, Campus Horb                                    aktiv          232
RCHOJC   	   Rch 1     OJC-Bibliothek                                                                               aktiv          233
S1A181   	   Stg 181   Deutsche Institute für Textil- und Faserforschung Stuttgart, Institut für Textilchemie und   aktiv          234
         	             Chemiefasern
MAPZSM   	   Mh 27     Pädagogische Zentralbibliothek beim Staatlichen Schulamt                                     aktiv          235
KNVSSA   	   Vil 3     Stadtarchiv und Museen Villingen-Schwenningen                                                aktiv          236
TUAUMP   	   B 107     Max-Planck-Haus (MPI) Tübingen                                                               aktiv          237
ULBIWA   	   Bib 1     Wieland-Archiv Biberach                                                                      aktiv          238
ULAULM   	   U2        Institut für Lasertechnologie in der Medizin an der Universität Ulm                          zdb            240
ULAURK   	   U5        Rehabilitationskrankenhaus Ulm                                                               zdb            240
ULAUSW   	   U4        Zentrum für Sonnenenergie- und Wasserstofforschung Ulm                                       zdb            240
S1A183   	   Stg 183   Fraunhofer IPA - Fachinformation und Bibliothek                                              passiv         241
ULSA     	   954       Ehemalige HFG-Bibliothek/Stadtarchiv Ulm                                                     zdb            242
TURWDL   	   Rtw 2     Staatliches Seminar für Didaktik und Lehrerbildung (Gymnasien) Rottweil                      aktiv          243
SBIB     	   982       Schloss Dagstuhl - Leibniz-Zentrum für Informatik GmbH                                       aktiv          244
S1A252   	   Stg 252   Dt.Inst. f. Textil- u. Faserforschung, In.Textil- u. Verfahrenstechnik                       aktiv          245


S1EOLM   	   Stg 117/4   Landeskirchliches Museum                                                  aktiv          246
TUSIST   	   Sig 1       Staatsarchiv Sigmaringen                                                  zdb            247
L1HS     	   L 245       Bibliothek Hör- und Sprachgeschädigtenwesen Leipzig                       aktiv          248
TUAULD   	   Tü 122      Regierungspräsidium Tübingen, Referat 26 - Denkmalpflege                  aktiv          249
FRGWSB   	   1336        Gemeindebücherei Grenzach-Wyhlen                                          aktiv          250
SBBK     	   1252        Hochschule der Bildenden Künste Saar                                      zdb            251
S1SE     	   Stg 272     Staatliche Seminare für Schulpädagogik Stuttgart                          aktiv          252
TUAUAR   	   449         Stadtarchiv Tübingen                                                      zdb            253
S1ESHK   	   Ess 3       Hochschule für Kirchenmusik der Evangel. Landeskirche in Württemberg      aktiv          254
FROGWH   	   1164        Wissenschaftliche Hochschule Lahr                                         aktiv          255
S1A254   	   Stg 254     Fraunhofer-Institut für Bauphysik                                         passiv         256
HDBSAM   	   Bb 19       Deutsches Apotheken-Museum                                                aktiv          257
S1SA     	   Stg 277     Stadtarchiv Stuttgart                                                     aktiv          258
SBSA     	   Sa 22       Stadtarchiv Saarbrücken                                                   zdb            259
S1URLP   	   Ur 1        Urach, Landeszentrale für politische Bildung                              aktiv          261
TUAUBG   	   Tü 117      Berufsgenossenschaftliche Unfallklinik Tübingen                           zdb            262
S1A253   	   Stg 253     Design Center Stuttgart                                                   aktiv          263
TURTSB   	   293         Stadtbibliothek Reutlingen                                                zdb            264
TUAUAM   	   Tü 16       Tropenklinik Paul-Lechler-Krankenhaus                                     zdb            265
S1SB     	   480         Stadtbücherei Stuttgart                                                   zdb            266
TUAUDA   	   Tü 120      Deutsch-Amerikanisches Institut Tübingen                                  zdb            267
TUAUCF   	   Tü 119      Institut Culturel Franco-Allemand Tübingen                                zdb            268
TUAUEU   	   Tü 121      Institut zur Erforschung des Urchristentums Tübingen                      zdb            269
TUAUSP   	   Tü 128      Staatliches Seminar für Didaktik und Lehrerbildung (Gymnasien) Tübingen   aktiv          270
TUAUGI   	   Tü 59a      Getzeny-Institut im Wilhelmsstift Tübingen                                zdb            271
SBNKAP   	   Neun 2      Archivische Präsenzbibliothek                                             zdb            272
SBMB     	   Sa 28       Öffentliche Musikbücherei des Saarlandes                                  aktiv          273
SBMU     	   Sa 17       Hochschule für Musik Saar, Hochschulbibliothek                            aktiv          273
